BlockNumber,BlobLengths
19772241,1
19772242,0
19772243,1
19772244,0
19772245,0
19772246,0
19772247,6
19772248,6
19772249,0
19772250,6
19772251,0
19772252,1
19772253,1
19772254,0
19772255,0
19772256,0
19772257,6
19772258,0
19772259,0
19772260,1
19772261,0
19772262,0
19772263,0
19772264,0
19772265,0
19772266,0
19772267,0
19772268,6
19772269,1
19772270,0
19772271,6
19772272,0
19772273,6
19772274,"2, 1"
19772275,0
19772276,0
19772277,0
19772278,0
19772279,0
19772280,1
19772281,0
19772282,0
19772283,0
19772284,0
19772285,6
19772286,0
19772287,0
19772288,0
19772289,0
19772290,0
19772291,6
19772292,0
19772293,0
19772294,1
19772295,1
19772296,0
19772297,0
19772298,0
19772299,0
19772300,0
19772301,"1, 1"
19772302,6
19772303,6
19772304,1
19772305,0
19772306,0
19772307,0
19772308,0
19772309,6
19772310,0
19772311,1
19772312,0
19772313,0
19772314,0
19772315,0
19772316,0
19772317,0
19772318,2
19772319,6
19772320,"1, 1"
19772321,6
19772322,6
19772323,0
19772324,0
19772325,0
19772326,0
19772327,0
19772328,0
19772329,0
19772330,0
19772331,1
19772332,0
19772333,0
19772334,6
19772335,0
19772336,0
19772337,0
19772338,1
19772339,0
19772340,1
19772341,0
19772342,1
19772343,0
19772344,0
19772345,0
19772346,0
19772347,6
19772348,0
19772349,6
19772350,0
19772351,6
19772352,"1, 1"
19772353,0
19772354,1
19772355,0
19772356,0
19772357,0
19772358,0
19772359,2
19772360,6
19772361,1
19772362,0
19772363,1
19772364,0
19772365,0
19772366,0
19772367,0
19772368,6
19772369,1
19772370,0
19772371,0
19772372,0
19772373,6
19772374,6
19772375,0
19772376,"1, 1"
19772377,0
19772378,0
19772379,0
19772380,0
19772381,"1, 1"
19772382,0
19772383,0
19772384,6
19772385,0
19772386,1
19772387,0
19772388,1
19772389,0
19772390,0
19772391,6
19772392,0
19772393,0
19772394,0
19772395,0
19772396,6
19772397,0
19772398,6
19772399,0
19772400,1
19772401,2
19772402,0
19772403,0
19772404,1
19772405,0
19772406,0
19772407,1
19772408,0
19772409,6
19772410,0
19772411,6
19772412,0
19772413,0
19772414,0
19772415,1
19772416,0
19772417,0
19772418,1
19772419,0
19772420,6
19772421,0
19772422,0
19772423,0
19772424,1
19772425,0
19772426,1
19772427,6
19772428,6
19772429,1
19772430,1
19772431,6
19772432,0
19772433,6
19772434,0
19772435,0
19772436,0
19772437,2
19772438,0
19772439,0
19772440,0
19772441,1
19772442,0
19772443,1
19772444,0
19772445,0
19772446,0
19772447,0
19772448,6
19772449,0
19772450,1
19772451,0
19772452,1
19772453,6
19772454,0
19772455,0
19772456,0
19772457,6
19772458,0
19772459,0
19772460,6
19772461,1
19772462,0
19772463,0
19772464,0
19772465,0
19772466,0
19772467,0
19772468,0
19772469,0
19772470,6
19772471,1
19772472,0
19772473,0
19772474,0
19772475,1
19772476,6
19772477,0
19772478,0
19772479,"1, 2"
19772480,1
19772481,0
19772482,0
19772483,0
19772484,6
19772485,0
19772486,6
19772487,0
19772488,1
19772489,0
19772490,0
19772491,0
19772492,1
19772493,0
19772494,0
19772495,1
19772496,0
19772497,0
19772498,6
19772499,6
19772500,0
19772501,1
19772502,0
19772503,0
19772504,1
19772505,0
19772506,0
19772507,0
19772508,0
19772509,0
19772510,0
19772511,6
19772512,1
19772513,0
19772514,6
19772515,0
19772516,0
19772517,0
19772518,"1, 1"
19772519,0
19772520,0
19772521,0
19772522,2
19772523,0
19772524,6
19772525,0
19772526,0
19772527,6
19772528,1
19772529,1
19772530,0
19772531,0
19772532,0
19772533,0
19772534,0
19772535,0
19772536,1
19772537,0
19772538,6
19772539,0
19772540,0
